RAG_Type,Model_Type,Precision,Recall,F1,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
AdaptiveRetrieval,qwen2.5:0.5b-instruct,0.7676,0.8861,0.8226,0.0805,0.2887,0.1864,0.0866,0.1505
AdaptiveRetrieval,qwen2.5:0.5b-instruct,0.9164,0.9052,0.9108,0.4194,0.4868,0.4124,0.1895,0.3299
SemanticRAG,qwen2.5:0.5b-instruct,0.889,0.8916,0.8903,0.3947,0.3947,0.3542,0.1489,0.3125
SemanticRAG,qwen2.5:0.5b-instruct,0.9715,0.94,0.9555,0.5721,0.6558,0.6667,0.4878,0.5476
SemanticRAG,qwen2.5:0.5b-instruct,0.9411,0.8991,0.9196,0.2174,0.2739,0.4231,0.24,0.3846
SemanticRAG,qwen2.5:0.5b-instruct,0.8962,0.9154,0.9057,0.3623,0.3656,0.4356,0.1414,0.2772
SemanticRAG,qwen2.5:0.5b-instruct,0.9141,0.8881,0.9009,0.3262,0.327,0.3636,0.1067,0.2338
SelfRAG,qwen2.5:0.5b-instruct,0.8947,0.9057,0.9002,0.4507,0.4785,0.4615,0.2921,0.3956
SelfRAG,qwen2.5:0.5b-instruct,0.967,0.9408,0.9537,0.5806,0.6534,0.6512,0.4762,0.5349
SelfRAG,qwen2.5:0.5b-instruct,0.879,0.8832,0.8811,0.3284,0.2794,0.3404,0.0652,0.2128
SelfRAG,qwen2.5:0.5b-instruct,0.903,0.9189,0.9109,0.3377,0.3944,0.422,0.1308,0.2752
SelfRAG,qwen2.5:0.5b-instruct,0.9231,0.9229,0.923,0.5323,0.5321,0.5625,0.383,0.3958
QueryTransformRetrieval,qwen2.5:0.5b-instruct,0.8384,0.8876,0.8623,0.173,0.3604,0.1875,0.1158,0.1771
QueryTransformRetrieval,qwen2.5:0.5b-instruct,0.8958,0.872,0.8837,0.2639,0.2176,0.2619,0.0488,0.2381
QueryTransformRetrieval,qwen2.5:0.5b-instruct,0.8606,0.875,0.8677,0.2151,0.2543,0.3158,0.0714,0.1754
QueryTransformRetrieval,qwen2.5:0.5b-instruct,0.8731,0.8801,0.8766,0.2429,0.2617,0.2745,0.08,0.2157
QueryTransformRetrieval,qwen2.5:0.5b-instruct,0.9216,0.9089,0.9152,0.431,0.4389,0.4583,0.2766,0.25
HierarchicalRAG,qwen2.5:0.5b-instruct,0.8914,0.8929,0.8922,0.411,0.4179,0.3656,0.1538,0.3226
HierarchicalRAG,qwen2.5:0.5b-instruct,0.9715,0.94,0.9555,0.5721,0.6558,0.6667,0.4878,0.5476
HierarchicalRAG,qwen2.5:0.5b-instruct,0.9411,0.8991,0.9196,0.2174,0.2739,0.4231,0.24,0.3846
HierarchicalRAG,qwen2.5:0.5b-instruct,0.77,0.8874,0.8246,0.0875,0.3162,0.1905,0.0838,0.1369
HierarchicalRAG,qwen2.5:0.5b-instruct,0.9141,0.8881,0.9009,0.3262,0.327,0.3636,0.1067,0.2338
FusionRetrieval,qwen2.5:0.5b-instruct,0.9326,0.8602,0.895,0.2291,0.3487,0.5862,0.3214,0.4483
FusionRetrieval,qwen2.5:0.5b-instruct,0.8839,0.8817,0.8828,0.2821,0.2521,0.3,0.0508,0.1833
FusionRetrieval,qwen2.5:0.5b-instruct,0.8853,0.8595,0.8722,0.1779,0.2065,0.2388,0.0308,0.209
FusionRetrieval,qwen2.5:0.5b-instruct,0.872,0.9017,0.8866,0.2857,0.3313,0.3878,0.125,0.2857
FusionRetrieval,qwen2.5:0.5b-instruct,0.9043,0.8964,0.9004,0.3333,0.3594,0.3585,0.0962,0.2453
FeedbackLoopRetrieval,qwen2.5:0.5b-instruct,0.8455,0.8082,0.8264,0.1833,0.2004,0.2198,0.0899,0.1978
FeedbackLoopRetrieval,qwen2.5:0.5b-instruct,0.9,0.9388,0.919,0.4625,0.5967,0.521,0.3419,0.4202
FeedbackLoopRetrieval,qwen2.5:0.5b-instruct,0.8941,0.8566,0.8749,0.1732,0.1763,0.1852,0.0385,0.1481
FeedbackLoopRetrieval,qwen2.5:0.5b-instruct,0.8126,0.893,0.8509,0.132,0.3412,0.2581,0.1087,0.2151
FeedbackLoopRetrieval,qwen2.5:0.5b-instruct,0.8721,0.8852,0.8786,0.3137,0.3189,0.3059,0.1205,0.1882
ExplainableRetrieval,qwen2.5:0.5b-instruct,0.8099,0.8422,0.8258,0.1244,0.2866,0.1942,0.0882,0.1262
ExplainableRetrieval,qwen2.5:0.5b-instruct,0.8735,0.8651,0.8693,0.1882,0.1796,0.1983,0.0336,0.1322
ExplainableRetrieval,qwen2.5:0.5b-instruct,0.7629,0.8549,0.8063,0.0752,0.2112,0.1321,0.0316,0.0943
ExplainableRetrieval,qwen2.5:0.5b-instruct,0.7666,0.8825,0.8205,0.0787,0.3281,0.1623,0.0654,0.1364
ExplainableRetrieval,qwen2.5:0.5b-instruct,0.8755,0.8983,0.8867,0.2315,0.3009,0.2714,0.1159,0.2
