RAG_Type,Model_Type,Precision,Recall,F1,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
AdaptiveRetrieval,qwen2.5:latest,0.9353,0.881,0.9074,0.1412,0.2149,0.2857,0.1277,0.2857
AdaptiveRetrieval,qwen2.5:latest,0.912,0.8966,0.9042,0.2872,0.2929,0.3889,0.2286,0.2778
AdaptiveRetrieval,qwen2.5:latest,0.9362,0.8827,0.9086,0.1544,0.2157,0.4138,0.1071,0.3103
SemanticRAG,qwen2.5:latest,0.8916,0.8693,0.8803,0.2507,0.2558,0.3103,0.0357,0.2414
SemanticRAG,qwen2.5:latest,0.9534,0.8673,0.9083,0.0382,0.2008,0.2903,0.1333,0.2581
SemanticRAG,qwen2.5:latest,0.9005,0.8597,0.8796,0.0917,0.0845,0.1277,0,0.1277
SemanticRAG,qwen2.5:latest,0.9165,0.8781,0.8969,0.2268,0.1647,0.3448,0.1071,0.1379
SemanticRAG,qwen2.5:latest,0.934,0.8814,0.9069,0.1338,0.179,0.3448,0.0714,0.2759
SelfRAG,qwen2.5:latest,0.8916,0.8965,0.894,0.4133,0.4011,0.4118,0.2424,0.3529
SelfRAG,qwen2.5:latest,0.9681,0.8915,0.9282,0.139,0.2965,0.4179,0.2462,0.3881
SelfRAG,qwen2.5:latest,0.9304,0.8784,0.9036,0.1694,0.2463,0.3333,0.087,0.25
SelfRAG,qwen2.5:latest,0.9628,0.9204,0.9412,0.3749,0.4079,0.5312,0.3226,0.5
SelfRAG,qwen2.5:latest,0.9452,0.8837,0.9134,0.1098,0.26,0.3571,0.1852,0.2857
QueryTransformRetrieval,qwen2.5:latest,0.9215,0.8774,0.8989,0.2738,0.3044,0.381,0.1967,0.381
QueryTransformRetrieval,qwen2.5:latest,0.9574,0.8761,0.915,0.042,0.1745,0.3226,0.1333,0.2903
QueryTransformRetrieval,qwen2.5:latest,0.7609,0.8841,0.8179,0.084,0.259,0.1895,0.0848,0.1614
QueryTransformRetrieval,qwen2.5:latest,0.9502,0.9109,0.9301,0.3157,0.3312,0.4194,0.2333,0.3548
QueryTransformRetrieval,qwen2.5:latest,0.938,0.8877,0.9122,0.2256,0.2956,0.4127,0.1311,0.2857
HierarchicalRAG,qwen2.5:latest,0.8916,0.8693,0.8803,0.2507,0.2558,0.3103,0.0357,0.2414
HierarchicalRAG,qwen2.5:latest,0.9666,0.8741,0.918,0.0334,0.1749,0.3279,0.2034,0.3279
HierarchicalRAG,qwen2.5:latest,0.7669,0.7209,0.7432,0,0,0,0,0
HierarchicalRAG,qwen2.5:latest,0.911,0.8961,0.9035,0.3093,0.3062,0.4167,0.2286,0.2778
HierarchicalRAG,qwen2.5:latest,0.9362,0.8827,0.9086,0.1544,0.2157,0.4138,0.1071,0.3103
FusionRetrieval,qwen2.5:latest,0.9236,0.8852,0.904,0.3561,0.3711,0.4923,0.254,0.4308
FusionRetrieval,qwen2.5:latest,0.9192,0.8674,0.8925,0.0943,0.1548,0.209,0.0923,0.209
FusionRetrieval,qwen2.5:latest,0.7669,0.7209,0.7432,0,0,0,0,0
FusionRetrieval,qwen2.5:latest,0.9299,0.8931,0.9111,0.1839,0.3057,0.4,0.2414,0.3667
FusionRetrieval,qwen2.5:latest,0.9443,0.878,0.9099,0.06,0.1838,0.3019,0.0784,0.2264
FeedbackLoopRetrieval,qwen2.5:latest,0.8897,0.8693,0.8794,0.2493,0.278,0.3607,0.1695,0.3607
FeedbackLoopRetrieval,qwen2.5:latest,0.8985,0.8596,0.8786,0.1298,0.1852,0.2687,0.1538,0.209
FeedbackLoopRetrieval,qwen2.5:latest,0.8885,0.8702,0.8792,0.163,0.1771,0.24,0.0833,0.2
